key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
8,"波韋爾","艾德希達","Barker","烏爾特加爾","阿爾布蕾達","Battle","奧古斯蒂涅爾","布萊西","Bertouaint","Beaudefoins","維·阿帕","伊·基恩姬","Tia","Aba","希珀·利","希珀","Jakkya","弗","E","吉恩","弗弗","蘭恩","法","庫","梅爾吉恩","Swozstyrmsyn","康托塔","Swozstyrmwyn","塔沃靈","Coyote","Abyss","雲龍","交喙","Shikibu","阿術吉木","孛洛琴","Buduga","米斯蒂斯加","Asvana","多布里卡","Svenach","澤緹娜","Asvana","Ditasch","雅爾蒂","Rehw-Gilda","Copihwesfv","比永絲","Golmarr","Paharo"
9,"阿爾賓","萊維娜","Barlow","烏尼哈德","阿爾德露斯","Beake","奧梅里克","布蘭蒂","Blodoint","Beaudonet","西·阿帕","嘉·塔爾姬","Tia","Raha","達卡·托","扎烏","Nbolo","伽","Gami","拉多","付付","勞歐","菲","菈","穆厄菲安","Solksthalsyn","克林托塔","Solksthalwyn","薩爾京","Jackal","River","炎節","荊棘","Sakimuri","阿德契拉黑","博托惠","Dalamiq","穆蒂米爾","Avira","奧斯特羅米爾","Ditasch","斯托拉","Avira","Anatalyasch","阿斯蒂斯","Djt-Gilda","Rawbewesfv","阿麗姆","Iryut","Muruc"
10,"亞瑟","米拉貝爾","Bell","瓦伊雅特","阿蕾迪絲","Beck","巴蒂斯托","布萊妮","Branchais","Bontensont","艾·瑪提","克·莉夏","Tia","Mhasi","達卡·利","達卡","Jinjahl","戈","Gu","爾比","伽伽","蘭塔","芙","蕾","尼斯特比爾姆","Sunnskyfsyn","欽德托塔","Sunnskyfwyn","巴恩丁","Griffin","Lake","海燕","伊吹","Hatasashi","阿納爾巴","查侖","Iriq","博戈米爾","Aredna","伊萬","Anatalyasch","瑪麗亞","Aredna","Inivisch","比耶爾","Rehw-Setlas","Phiitewesfv","庫利","Ljanta","Cahuac"
11,"奥古斯丁","艾蒂莎","Bellveil","瓦伊馬","阿蕾索妮","Benbow","巴爾納貝","布莉吉","Cahernaut","Braitognieux","喬·瑪提","梅·拉艾波麗","Tia","Odh","茹布·利","奧克","Polaali","哈","Ha","爾戈","濟濟","邁伊","嘉","蘿","佛里姆洛夫","Seiksatzsyn","拉戈托塔","Seiksatzwyn","斯奇特靈","Dragon","Spring","影虎","善知","Tabito","阿馬沙","怯怯伊真","Jhungid","拉蒂米爾","Azetina","弗謝米爾","Inivisch","托爾娜","Azetina","Jovasch","庫利","Djt-Setlas","Gahjewesfv","伊塞拉","Miret-Moor","Isshu"
12,"貝亞德","阿爾蒂特","Berry","瓦伊蒙德","阿爾薇瑞德","Blackburn","貝爾農","索莉","Carrilaut","Brucemont","黎·歐爾赫","黎·科里維","Tia","Tykha","林·阿","琳","Maimhov","霍","Hamy","里恩","戈戈","邁雅","果","露","里特阿緹恩","Rhansathsyn","利那托塔","Rhansathwyn","阮寧","Rat","Waterfall","陽炎","梅","Kaujin","阿馬山赤","查木貝","Kharlu","拉季薩","Astolla","米斯加","Jovasch","捷莎","Astolla","Onasch","科瓦","","","尤爾希","Miret-Njer","Cebe"
13,"貝爾蒙特","奧德葉","Bishop","西姆","阿琉恩","Brood","布盧瓦西朗","塞莉","Charlemend","Cedrepierre","奇·歐爾赫","恩·赫恩格","Tia","Khuba","維拉·利","維拉","Lyehga","卡","Hon","里托","古古","穆克","哈","茉","斯凱恩利斯","Pfymseiksyn","諾爾托塔","Pfymseikwyn","沃爾京","Mouse","Creek","喜鵲","艷麗","Gyoji","阿拉直布","傑傑伊真","Khatayin","察奇","Amarya","亞羅米爾","Onasch","尤麗亞","Amarya","Ulgasch","艾爾亞","","","維娜絲","Otoel","Yapih"
14,"本尼德克特","艾露琺","Braddock","塔伊奧恩","阿莉絲","Blacke","布瓦瑟隆","塞維莉雅","Chaunollet","Chamberliaux","恩·貝姆","奧·亞拉沫","Tia","Rhid","維拉·托","茨姆","Kaatapoh","卡姆","Ke","爾卡","哈哈","穆恩","希","姆","斯卡恩瑪爾","Ostornsyn","拉姆托塔","Ostornwyn","維平","Falcon","Stream","華山","落實","Daisho","阿拉布查","朵兒格聶","Malqir","茲沃尼米爾","Atolna","沃羅斯","Petyasch","佩拉","Atolna","Hinkasch","捷達","","","烏其娜","Qoet","Yaxin"
15,"本尼格爾","蒂亞曼德","Brasher","烏爾塔","阿梅羅特","Bloode","布里亞迪安","克麗奧","Cimeaurant","Charledore","卡·貝姆","佩·瓦巴茨","Tia","Bhen","緹芙·阿","緹芙","Khamazom","凱","Kelu","爾諾","希希","奈蘇","佳","娜","修提姆威恩","Rosnsathsyn","利姆托塔","Rosnsathwyn","奇青","Eagle","Bream","神威","楓","Kanshi","阿力克","朵兒革諾","Mankhad","涅克拉斯","Atessa","塞亞德","Linasch","莫芙","Atessa","Maevsch","耶克","","","索尼亞","Rysto","Huin"
16,"博伊爾","艾德布加","Brewer","烏恩弗雷","阿爾蕾特","Brand","布呂納迪耶","德妮亞","Corentiaux","Chassebel","德·羅西","奇·姬瑞柯","Tia","Qolnh","緹奧·利","緹奧","Panipahr","克","Kesu","爾托","嘉嘉","奈嘉","傑","涅","斯姆雷特","Niunaglsyn","薩茨托塔","Moeramohtwyn","瑞京","Buzzard","Siren","可樂","花月","Godo","阿嘎沙","也貝該","Mierqid","弗謝斯加","Ayurya","瓦茨拉夫","Ulgasch","傑安娜","Ayurya","Ovasch","約維","","","斯蕾亞","Sjasaris","Oghu"
17,"布蘭","艾妲","Broadbent","瓦拉弗里德","阿莎拉","Bullock","塞萊斯托","多塞特","Coultenet","Chatelfort","芙·羅西","爾·魯恩","Tia","Loha","莫里·托","莫里","Moshroca","利弗","Kog","魯吉","吉吉","奈恩","柯","妮","西希爾迪格","Moeramohtsyn","斯酷恩托塔","Moegmhuwyn","斯提明","Crow","Whirlpool","灌水","霞","Ishiku","阿爾古胡","格孛兒金","Noykin","塔曼","Amov","盧德維特","Maevsch","莉麗亞","Apella","Slobasch","利亞","","","凱絲特拉","Tym","Tswarra"
18,"布魯斯","艾德金","Brooks","瓦爾查","阿泰莉絲","Butcher","西塞魯瓦","德艾勒","Dailemont","Cibleroit","古·阿茲","絲·納伊嘉","Tia","Phen","莫里·拉","琪雅","Garanjy","莫","Loh","爾約","喬喬","尼瑪","琪","諾","西文瑪斯","Moegmhusyn","斯太爾托塔","Marmannwyn","蘭佩京","Dragonfly","Current","曉星","桔梗","Urabito","阿斯朗","古兒博蘇","Olkund","謝文","Adeanna","安德里亞","Lentyasch","約拉","Amov","Piryasch","利奧特","","","彼得拉","Viras","Guguerro"
19,"克利夫頓","艾德薇雅","Browne","瓦爾迪伯特","奧雅辛","Byrde","西里安","多麗","Dariustel","Colbernoux","嘉·阿茲","茶·布羅卡","Tia","Falh","佩里·賽","佩里","Jawantal","納","Ma","爾扎","科科","恩吉","科","珀","特拉哈圖姆","Marmannsyn","森托塔","Oebmannwyn","賽寧","Peiste","Eddy","旭峰","菊水","Edakumi","阿爾赤黑","忽格侖","Dazkar","姆拉登","Ajolla","烏爾福","Ovasch","布蘭卡","Adeanna","Votyasch","奈伊","","","諾伊拉","Wolt","Gugoza"
20,"克萊夫","艾爾蒂德","Carmine","瓦爾德馬爾","奧琳","Byrne","克萊芒坦","蒂莉絲","Drillemont","Dechamberre","克·法爾科","烏·夏柯爾","Tia","Banhi","卡塔·阿","卡塔","Lihzeh","諾","Maba","瑪嘉","酷酷","努黎","庫","璞","維布阿科特","Oebmannsyn","西茲恩托塔","Ostyrmannwyn","斯皮寧","Yarzon","Turtle","魚道","水鳥","Okeya","阿魯庫泰","忽類罕","Oronir","拉季米爾","","拉茨勞","Yorvasch","琉芭","Ajolla","Anovsch","奧斯克","","","尼麗莎","Yascaret","Tormelados"
21,"科爾伯特","艾爾芙蕾妲","Carver","瓦爾伯特","奧里阿娜","Cordwyk","克洛泰勒","艾德梅勒","Drividot","Deresnels","梅·巴羅","烏·喬恩格","Tia","Malha","卡塔·托","雅赫","Mujuuk","奧","Mada","瑪尼","拉拉","恩帕","拉","瑞","瓦斯特拉哈","Ostyrmannsyn","烏畢爾威達","Loezmannwyn","戴溫","Morbol","Orobon","慶典","雲切","Onishi","俺巴孩","呼札格兒","Oroq","拉迪奧","","齊夫","Slobasch","茲拉塔","","Ellasch","舍爾","","","奈伊","Voras",""
22,"科爾森","艾特芙蕾德","Clarke","瓦雷恩海里","奧里爾迪絲","Cotter","克洛泰里翁","艾爾德","Duimessand","Derinloire","爾·恩達爾","瓦·帕哈拉","Tia","Pahlo","拉雅·利","拉雅","Jaab","佩","Magu","米恰","利利","恩佐","樂","若","韋爾夫穆恩","Loezmannsyn","烏辛威達","Lubbloefwyn","克萊姆兵","Hornet","Apple","傾穗","紅","Kaisuri","也林台","亦巴哈","Qerel","傑維亞特科","","馬特科","Piryasch","拉佳","","Stalyasch","阿拉克雅","","","利亞","",""
23,"坎法斯","艾塞琳達","Clay","塞奧德里克","阿維絲","Crewe","達西安","艾爾維德","Duremert","Drancelmans","絲·恩達爾","維·琵柯伊","Tia","Tyatu","拉雅·洛","恩達","Tayuun","普","Mena","莫諾","羅羅","包其","莉","紗","溫修特奧拉","Lubbloefsyn","凡威達","Loetrlihtwyn","墜弗廷","Wasp","Plum","啟明","紅玉","Kaifu","亦圖成","札里凱","Torgud","弗拉托潘","","斯拉德奇","Votyasch","葉尼亞","","Zelasch","丹妮","","","瑞夏","",""
24,"科奈爾","芙瑞斯維德","Clayworth","泰烏德巴爾德","阿薇金","Dalvag","達爾斯盧瓦","艾米娜","Ebrelnaux","Dubeltaire","烏·奎伊","西·格納柯","Tia","Naweh","拉雅·拉","烏拉","Bajhiri","拉","Mesha","納恩","瑪瑪","萊吉","蘿","霞","威修特森","Loetrlihtsyn","威爾特威達","Klynkestwyn","斯利平","Goobbue","Swan","玄武","小櫻","Gakunin","亦魯該","哈達甘","Tumet","斯瓦托米爾","","多瑪戈伊","Anovsch","娜塔","","Vetasch","米亞拉","","","約蒂爾","",""
25,"科斯特","加絲麗特","Cooke","泰奧德馬爾","阿薇拉","Denman","多米西安","艾爾米安絲","Estrelaint","Duchesnelt","瓦·奎伊","雅·雅拉妮","Tia","Ndai","塔塔·賽","塔塔","Zhwan","洛","Mol","恩可","梅梅","萊卡","露","秀","烏恩特希姆爾","Klynkestsyn","沃爾威達","Hyllkestwyn","斯托萊京","Mole","Gull","豪雪","琴風","Kasanui","兀赤金","火加格琴","Ugund","費利博爾","","維亞奇科","Ellasch","斯韋娜","","Stevasch","利爾雅","","","伊維特","",""
26,"西利亞克","格特","Corwell","塞維爾","阿薇恩","Elder","迪維庫魯瓦","費娜","Eurelt","Eudestand","阿·瓦諾","喬·莫爾巴","Tia","Halha","克瑪·其","克瑪","Molkoh","夏","Na","奈可","彌彌","瑞亞","瑪","絲","威斯羅爾","Hyllkestsyn","威斯威達","Horskhundwyn","莊寧","Crab","Dodo","金剛","琴月","Kazarishi","兀都台","火金","Uyagir","格魯古爾","","博里克","Lantasch","季塔","","Utyasch","夏拉","","","海琳","",""
27,"丹伯特","金奈德","Covey","西爾蓋恩","巴爾泰爾達","Forester","艾馬內蘭","菲妮亞","Faintillaud","Eugeoiret","卡·瓦諾","碧·愛爾","Tia","Quah","阿姆·阿","阿姆","Mewrilah","肖","Po","奈利","那那","山姆","彌","蘇","威茲恩古爾德","Horskhundsyn","吉恩威達","Glazhwabwyn","彌興","Goat","Pelican","彩雲","小春","Kawanami","也速成","火里金","Dhoro","德揚","","茲德拉夫科","Stalyasch","阿娜塔莉亞","","Rolvasch","伊里絲","","","尤瑪","",""
28,"達馬斯","歌德蕾瓦","Dorne","西博爾德","巴爾緹爾迪絲","Frost","昂蓋朗","弗拉維艾勒","Faucertaux","Evrardoux","赫·拉恰","阿·納雅克","Tia","Vanih","凱達·利","凱達","Rabntah","蘇","Poto","恩伽","諾諾","山恩","茉","塔","塞斯烏雅","Glazhwabsyn","茲厄威達","Glazghotwyn","興英","Drake","Doe","左岸","小町","Kusakari","也木里克","忽古兒琴","Orben","亞羅米爾","","米奧德拉格","Zelasch","因尼娃","","Wenyasch","巴吉","","","阿希亞","",""
29,"丹尼爾","古蒂芙","Dracht","西迪蒙德","貝蕾塔","Garrott","艾斯蒂尼安","弗洛麗娜","Faucillien","Fauchetemps","茶·拉恰","阿·赫茱碧","Tia","Laqi","凱達·托","帕納","Wahcondalo","特","Ra","恩吉","帕帕","托尼","娜","托","扎赫克雷普夫","Glazghotsyn","艾斯威達","Guhtgeiswyn","淘爾京","Wyvern","Rabbit","左京","小琉璃","Kusushi","窩闊台","納林加娃","Ejinn","茨季博爾","","弗拉斯季米爾","Vetasch","約娃","","Olanasch","嘉吉安","","","愛琳","",""
30,"迪特里希","古蒂莎","Eugene","西弗里德","博加爾德","Goffe","厄讓努瓦","弗里娜","Ferdillaix","Fauconnoix","碧·艾利","碧·蕾莫","Tia","Amih","凱達·阿","巴索","Jomalah","瓦","Rala","恩戈","佩佩","烏陸","妮","茨","扎赫利姆","Guhtgeissyn","阿黎威達","Haerfruskwyn","微斯珀靈","Toad","Squirrel","殘星","石榴","Kodakumi","窩只別克","努木侖","Dotharl","德米塔爾","","杜貝尼亞","Lianasch","佩佳","","Mildasch","耶爾普爾","","","約爾","",""
31,"登斯頓","海德休","Fairclough","羅里克","博特里阿娜","Grayve","法布雷耶","加艾勒","Forchetaix","Feuillelains","喬·艾利","碧·雅波基","Tia","Chaho","烏納·阿","烏納","Relanah","雅","Rom","奧恩","珀珀","萬其","諾","娃","茲恩古太爾賓","Haerfrusksyn","巴拉威達","Ghimfolgwyn","斯塔靈","Ghost","Calf","殘雪","小波","Sashihai","哈勒","窩闊林","Hotgo","博里米爾","","拉多萬","Stevasch","莉娜","","Ridnisch","利奧基","","","特莎","",""
32,"戴文","希妲","Fields","拉吉恩蒙德","西莉亞","Grey","費利謝昂","格溫諾莉","Forsemart","Fierlaine","德·茶赫","卡·蘭塔","Tia","Jhamei","烏納·托","克羅","Akhabila","尤","Tam","帕斯","庫庫","萬伊","努","沃","吉貝特溫德","Ghimfolgsyn","布魯威達","Geimfoetwyn","法爾靈","Bear","Sparrow","紫雲","小夜","Sarugaku","哈勒扎","窩兒貝","Sagahl","勒曼","","伊利科","Utyasch","欣卡","","Tilvisch","拉斯楊","","","耶克","",""
33,"迪里克","休德耶德","Fisher","蘭德","克拉莉蒙德","Hammil","費雷奧爾","艾爾曼絲","Fraideoux","Fortanceste","嘉·茶赫","德·馬拉德爾","Tia","Khah","烏納·利","薩嘉","Awandah","嘉","Taya","普珀","菈菈","萬茲","帕","亞","奧斯特西格","Geimfoetsyn","伯恩威達","Fhilfhiwyn","利平","Galago","Crow","紫電","紫苑","Shibunuri","海山","掃哈台","Kahkol","盧切扎爾","","德拉斯科","Rolvasch","瑪耶芙","","Slendisch","特雷澤爾","","","基艾特","",""
34,"艾萊亞薩","蕾芙奇爾德","Fletcher","奧迪布蘭德","德姆絲","Hart","菲爾米安","艾爾珊德","Frilaix","Fourchenault","艾·卡亞","艾·茱薩娜","Tia","Yarhu","烏納·賽","恰格","Anbolho","窪","Tha","拉爾","雷雷","彥迪","佩","悠","隆沃德","Fhilfhisyn","布羅特威達","Farredzawyn","朱爾德","Gnat","Heron","白波","翠","Tanshi","海台","掃爾哈塔妮","Kha","多布里","","達科","Wenyasch","連佳","","Erayasch","烏弗羅","","","比耶爾","",""
35,"伊曼紐爾","蕾芙蕾達","Fulke","奧迪內爾","德達","Hawke","菲米尼南","伊莉艾特","Fromelaut","Fousquenet","伊·卡亞","奧·茱拉姆","Tia","Iahe","西扎·利","伊吉","Betwanhe","扎","Tun","利姆","力力","彥克","珀","傑","阿爾德福特","Farredzasyn","比利古威達","Eifaentwyn","艾福瑞","Boar","Stork","白獅","雀","Chosai","卻思黎黑","掃若參","Mol","普蒂米爾","","文采爾","Nintasch","奧娃","","Veitasch","弗列","","","艾麗絲","",""
36,"伊拉斯馬斯","密爾布絲","Gardner","奧爾特爾夫","艾博希爾德","Hext","弗洛倫泰爾","伊奧蕾恩","Georjeaux","Frageorloix","芙·雅賀","卡·塔達拉","Tia","Rhuwa","薩密·托","琵赫","Binbotaj","佐","Vu","洛克","洛洛","勇恩","璞","潔","阿特瑪斯","Eifaentsyn","登恩威達","Doerdyrfwyn","格瑞斯福","Beetle","Crane","神刀","堇","Dejiki","忽朱克","速爾庫帖妮","Gesi","洛夫羅","","文茨拉斯","Olanasch","約爾娃","","Wirasch","吉艾羅","","","米亞拉","",""
37,"艾里克","密爾德斯瑞斯","Gelson","奧特維恩","艾迪拉","Hicke","弗洛里蒙","伊蕾娜","Gibrillont","Franchemontiaux","黎·雅賀","艾·帕古羅","Tia","Belhi","西扎·托","西扎","Burwani","","Yara","塔恩","露露","贊恩","葵","","巴爾德威爾恩","Doerdyrfsyn","杜恩蓋姆","Fiandoenwyn","加格德","Ant","Duck","瑞光","青花","Torioi","忽查兒","塔丘檀","Kagon","尤拉伊","","克里夫","Mildasch","斯洛芭","","Svanasch","奧沃","","","舍爾","",""
38,"艾斯蒙德","麥德蕾德","Glover","奧太林","艾麗亞","Horne","弗蘭凱","讓謝蒂","Grillairmais","Francmontois","梅·維爾希","奧·博柯奈","Tia","Celah","薩密·阿","薩密","Dolabnha","","Yu","托尼","薩薩","傑戈","璐","","凱爾興","Fiandoensyn","德瑞斯蓋姆","Bryndoenwyn","寇伊爾德","Raptor","Fawn","剪定","雪花","Naeuri","奎由","塔爾坤","Goro","沃龍","","瓦爾德馬","Ridnisch","皮麗亞","","Irryasch","貝特努爾甫","","","伊里絲","",""
39,"艾斯穆爾","奧絲吉絲","Goode","奧索","艾麗絲","Hunt","加比諾","雅妮","Grinnaux","Gerraldieux","恩·威利","芙·瑪納琺","Tia","Denma","薩密·坦","柯塔","Dakwhil","","Za","托帕","海海","","莎","","登克爾特拉哈","Bryndoensyn","愛因蓋姆","Blaetibaenwyn","克魯克德","Mite","Bee","千兩","千草","Hakuuchi","貴由","帖古斯金","Gharl","斯韋蒂斯加","","戈蘭","Tilvisch","沃佳","","","奎維","","","阿納","",""
40,"艾斯佩蘭斯","奧西薩","Goode","拉多爾夫","艾麗艾諾拉","Keene","加艾唐","若艾莉","Guerrique","Godriquelain","茶·傑恩瑪","嘉·達西姆","Tia","Fhey","奇特·利","納巴","Entialpoh","","Zo","瓦吉","賽賽","","思","","艾伊利森","Blaetibaensyn","菲厄蓋姆","Floeraskwyn","佩恩提德","Ale","Bat","湛水","千鳥","Banjo","庫力布查","托真聶","Dataq","亞里克","","佐里亞","Slendisch","阿諾芙","","","達格托爾","","","阿斯蒂斯","",""
41,"艾特加爾","奧斯特瑞絲","Goodfellow","拉福爾德","艾麗珊德","Kemp","加斯帕爾","若萊娜","Hanrieaux","Goudernoux","佩·傑恩瑪","奧·恩達妮亞","Tia","Genhu","柯納·利","柯納","Elakha","","Zu","扎伊","塔塔","","肖","","費茲穆恩","Floerasksyn","甘茲蓋姆","Guolfyrwyn","諾提德","Wine","Lamb","月影","千早","Fukiku","者卜客","托拉嘉娜","Haragin","斯萬特","","貝倫","Erayasch","葉拉","","","艾伊拉爾特","","","菲約拉","",""
42,"弗雷迪里克","賽布加","Greave","拉加納爾德","艾梅茵","Knight","吉約諾","拉耶","Hobriaut","Grandeterre","烏·荷爾哈","嘉·拉瑪妮","Tia","Heleh","柯納·托","瑪夏","Fashonti","","Zuka","扎克","圖圖","","索","","雲格巴爾","Guolfyrsyn","古特蓋姆","Hezzfyrwyn","布拉蒂德","Fox","Ladybug","桃源","鶇","Furukane","哲貝","兀怵真","Ura","韋利斯加","","梅采克","Yanavsch","蘭塔","","","玖凱","","","利亞","",""
43,"喬弗里","桑吉芙","Greene","拉加恩弗里德","艾默琳","Lak","吉耶弗雷納","利艾姆","Hortimont","Guillestet","瓦·荷爾哈","伊·納恩嘉爾","Tia","Jesal","格塔·利","格塔","Ganajai","","","佐恩","瓦瓦","","塔","","柯爾特雷恩","Hezzfyrsyn","海爾蓋姆","Fyrlihtwyn","坦德","Fire","Frog","桃夭","椿","Bunja","者勒蔑","也孫帖","Moks","米洛拉德","","貝爾納丹","Veitasch","斯塔麗亞","","","霍格尼爾","","","利奧特","",""
44,"杰拉爾德","辛諾芙","Happer","梅因弗里德","艾梅特","Langdale","居斯塔萬","莉西","Hourlinet","Handeloup","阿·維特","西·帕塔羅","Tia","Kett","珀奇·阿","珀奇","Lanbatal","","","吉爾","雅雅","","泰","","魯特斯菲伊克","Fyrlihtsyn","哈特蓋姆","Merlskyfwyn","坎德","Flame","Condor","胴割","棗","Maibito","真克思","阿剌格","Geneq","貝里米爾","","米洛萬","Lunyasch","澤拉","","","切特","","","奧斯克","",""
