key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
42,"供水設施擴建工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","供水設施擴建工程支援行動　聯合工程進行中","建設供水站的聯合工程正在進行中！
請一定要來幫忙呀！","建設供水站的聯合工程正在進行中！請一定要來幫忙呀！","探索威",12,158,36,241022,0,0,0,0,1,2,3
43,"發電站&供水站　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","發電站&供水站　竣工","發電站和供水站竣工啦！
這下就暫時不用擔心能量和供水的問題了，感謝大家的幫助！","發電站和供水站竣工啦！感謝大家的幫助！","探索威",13,158,37,241023,1401,18,12,5,1,2,3
44,"二級機庫&宇宙港　改建物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","二級機庫&宇宙港　改建物資準備中","我們需要改建機庫和宇宙港，使其具備更高性能！
請積極參加探索任務幫忙籌備物資！","我們需要改建機庫和宇宙港，使其具備更高性能！一起籌備物資吧！","探索威",13,158,38,241024,0,0,0,0,1,2,3
45,"第二次機庫擴建工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第二次機庫擴建工程　聯合工程準備中","改建機庫的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","改建機庫的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",13,158,39,241024,1451,0,0,0,1,2,3
46,"第二次機庫擴建工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第二次機庫擴建工程　聯合工程進行中","改建機庫的聯合工程正在進行中！
請一定要來幫忙呀！","改建機庫的聯合工程正在進行中！請一定要來幫忙呀！","探索威",13,158,40,241024,0,0,0,0,1,2,3
47,"第二次宇宙港建設工程支援行動　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第二次宇宙港建設工程支援行動　聯合工程準備中","改建宇宙港的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","改建宇宙港的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",14,158,41,241025,1402,18,13,5,1,2,3
48,"第二次宇宙港建設工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第二次宇宙港建設工程支援行動　聯合工程進行中","改建宇宙港的聯合工程正在進行中！
請一定要來幫忙呀！","改建宇宙港的聯合工程正在進行中！請一定要來幫忙呀！","探索威",14,158,41,241025,0,0,0,0,1,2,3
49,"三級機庫&二級宇宙港　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","三級機庫&二級宇宙港　竣工","機庫和宇宙港改建完畢啦！具備了更高性能！
相信今後探索活動將會更進一步，感謝大家的幫助！","機庫和宇宙港改建完畢啦！具備了更高性能！感謝大家的幫助！","探索威",15,158,42,241026,1402,18,14,5,1,2,3
50,"升降梯建設用地整備工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","升降梯建設用地整備工程　物資準備中","我們需要開通前往月底的升降梯！
請積極參加探索任務幫忙籌備物資！","我們需要開通前往月底的升降梯！一起籌備物資吧！","探索威",15,158,43,241027,0,0,0,0,1,2,3
51,"第一次升降梯建設用地整備工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次升降梯建設用地整備工程　聯合工程準備中","開通月底升降梯的第一次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","開通月底升降梯的第一次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",15,158,44,241027,1451,0,0,0,1,2,3
52,"第一次升降梯建設用地整備工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次升降梯建設用地整備工程　聯合工程進行中","開通月底升降梯的第一次聯合工程正在進行中！
請一定要來幫忙呀！","開通月底升降梯的第一次聯合工程正在進行中！請一定要來幫忙呀！","探索威",15,158,45,241027,0,0,0,0,1,2,3
53,"第二次升降梯建設用地整備工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第二次升降梯建設用地整備工程　聯合工程準備中","開通月底升降梯的第二次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","開通月底升降梯的第二次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",16,158,46,241028,1401,18,15,5,1,2,3
54,"第二次升降梯建設用地整備工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第二次升降梯建設用地整備工程　聯合工程進行中","開通月底升降梯的第二次聯合工程正在進行中！
請一定要來幫忙呀！","開通月底升降梯的第二次聯合工程正在進行中！請一定要來幫忙呀！","探索威",16,158,46,241028,0,0,0,0,1,2,3
55,"月底升降梯　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","月底升降梯　竣工","月底升降梯竣工啦！
相信今後對於地底空間的探索將會更進一步，感謝大家的幫助！","月底升降梯竣工啦！感謝大家的幫助！","探索威",17,158,47,241029,1411,18,16,5,1,2,3
56,"第五次宇宙快線鋪設工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第五次宇宙快線鋪設工程　物資準備中","我們需要建設宇宙快線地底線！
請積極參加探索任務幫忙籌備物資！","我們需要建設宇宙快線地底線！一起籌備物資吧！","探索威",17,158,48,241030,0,0,0,0,1,2,3
57,"第五次宇宙快線鋪設工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請靜待宇宙快線鋪設完成！","第五次宇宙快線鋪設工程　施工中","宇宙快線地底線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！","宇宙快線地底線的竣工時間確定啦！","探索威",17,158,48,241030,1452,0,0,0,1,2,3
58,"宇宙快線地底線　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","宇宙快線地底線　竣工","宇宙快線地底線竣工啦！
相信今後的探索會更進一步，感謝大家的幫助！","宇宙快線地底線竣工啦！感謝大家的幫助！","探索威",18,158,49,241031,1404,18,17,5,1,2,3
59,"基地綜合設施擴建工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","基地綜合設施擴建工程　物資準備中","我們需要大幅擴建月門基地！
請積極參加探索任務幫忙籌備物資！","我們需要大幅擴建月門基地！一起籌備物資吧！","探索威",18,158,50,241032,0,0,0,0,1,2,3
60,"基地綜合設施擴建工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","基地綜合設施擴建工程　聯合工程準備中","大幅擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","大幅擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",18,158,51,241032,1451,0,0,0,1,2,3
61,"基地綜合設施擴建工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","基地綜合設施擴建工程　聯合工程進行中","大幅擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！","大幅擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！","探索威",18,158,52,241032,0,0,0,0,1,2,3
62,"月門基地：月上跳跳城　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>心繫漫天星空，自由度過當下的時光吧！","月門基地：月上跳跳城　竣工","月門基地擴建完畢啦！
這下基地變得好氣派啊，感謝大家的幫助！","月門基地擴建完畢啦！感謝大家的幫助！","探索威",19,158,53,241033,1403,18,18,5,1,2,3
63,"月面基地整備計畫　圓滿完成
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>心繫漫天星空，自由度過當下的時光吧！","月面基地整備計畫　圓滿完成","在大家的辛勤工作下，月球上的所有設施都建設完畢啦！
一想到接下來將要踏上的全新旅程，內心就激動不已！","在大家的辛勤工作下，月球上的所有設施都建設完畢啦！太感謝各位啦！","探索威",19,158,54,241034,0,0,0,0,1,2,3
64,"","","","","",0,0,0,0,0,0,0,0,0,0,0
65,"","","","","",0,0,0,0,0,0,0,0,0,0,0
66,"","","","","",0,0,0,0,0,0,0,0,0,0,0
67,"","","","","",0,0,0,0,0,0,0,0,0,0,0
68,"","","","","",0,0,0,0,0,0,0,0,0,0,0
69,"","","","","",0,0,0,0,0,0,0,0,0,0,0
70,"","","","","",0,0,0,0,0,0,0,0,0,0,0
71,"","","","","",0,0,0,0,0,0,0,0,0,0,0
72,"","","","","",0,0,0,0,0,0,0,0,0,0,0
73,"","","","","",0,0,0,0,0,0,0,0,0,0,0
74,"","","","","",0,0,0,0,0,0,0,0,0,0,0
75,"","","","","",0,0,0,0,0,0,0,0,0,0,0
76,"","","","","",0,0,0,0,0,0,0,0,0,0,0
77,"","","","","",0,0,0,0,0,0,0,0,0,0,0
78,"","","","","",0,0,0,0,0,0,0,0,0,0,0
79,"","","","","",0,0,0,0,0,0,0,0,0,0,0
80,"","","","","",0,0,0,0,0,0,0,0,0,0,0
81,"","","","","",0,0,0,0,0,0,0,0,0,0,0
82,"","","","","",0,0,0,0,0,0,0,0,0,0,0
83,"","","","","",0,0,0,0,0,0,0,0,0,0,0
84,"","","","","",0,0,0,0,0,0,0,0,0,0,0
85,"","","","","",0,0,0,0,0,0,0,0,0,0,0
86,"","","","","",0,0,0,0,0,0,0,0,0,0,0
87,"","","","","",0,0,0,0,0,0,0,0,0,0,0
88,"","","","","",0,0,0,0,0,0,0,0,0,0,0
89,"","","","","",0,0,0,0,0,0,0,0,0,0,0
90,"","","","","",0,0,0,0,0,0,0,0,0,0,0
91,"","","","","",0,0,0,0,0,0,0,0,0,0,0
92,"","","","","",0,0,0,0,0,0,0,0,0,0,0
93,"","","","","",0,0,0,0,0,0,0,0,0,0,0
94,"","","","","",0,0,0,0,0,0,0,0,0,0,0
95,"","","","","",0,0,0,0,0,0,0,0,0,0,0
96,"","","","","",0,0,0,0,0,0,0,0,0,0,0
97,"","","","","",0,0,0,0,0,0,0,0,0,0,0
98,"","","","","",0,0,0,0,0,0,0,0,0,0,0
99,"","","","","",0,0,0,0,0,0,0,0,0,0,0
100,"","","","","",0,0,0,0,0,0,0,0,0,0,0
101,"","","","","",0,0,0,0,0,0,0,0,0,0,0
102,"","","","","",0,0,0,0,0,0,0,0,0,0,0
103,"","","","","",0,0,0,0,0,0,0,0,0,0,0
104,"","","","","",0,0,0,0,0,0,0,0,0,0,0
105,"","","","","",0,0,0,0,0,0,0,0,0,0,0
106,"","","","","",0,0,0,0,0,0,0,0,0,0,0
107,"","","","","",0,0,0,0,0,0,0,0,0,0,0
108,"","","","","",0,0,0,0,0,0,0,0,0,0,0
109,"","","","","",0,0,0,0,0,0,0,0,0,0,0
110,"","","","","",0,0,0,0,0,0,0,0,0,0,0
111,"","","","","",0,0,0,0,0,0,0,0,0,0,0
